,name,time,balanced_accuracy,precision,recall,f1
2,RidgeClassifier,0.023986101150512695,0.9684910624300995,0.9862444687676677,0.9540111103674451,0.9691657822676257
5,KNeighborsClassifier,0.004995822906494141,0.9414891495922608,0.9499512521163405,0.9558043861410436,0.9498443078245355
14,GradientBoostingClassifier,4.3587892055511475,0.9332747938994828,0.9457944063344165,0.9462597327265021,0.941128312835645
3,DecisionTreeClassifier,0.05418710708618164,0.9295960269814895,0.9372005177453013,0.9501340829484863,0.9396886844779552
12,BaggingClassifier,0.311032772064209,0.9313237744791347,0.9442525751811932,0.9441692880887045,0.9392267227084258
15,ExtraTreesClassifier,0.46656227111816406,0.931748153849586,0.9501322847738545,0.9384963076991722,0.9389689487860903
13,HistGradientBoostingClassifier,1.0454967975616456,0.929757820373663,0.9445971816959189,0.9435736117618188,0.9381943232713412
10,RandomForestClassifier,0.7295494079589844,0.91919509733454,0.9406961395408416,0.932230774379225,0.9283579834776532
4,ExtraTreeClassifier,0.008195209503173827,0.8813862860584969,0.9023645558151833,0.9044392387836602,0.8955074119907518
11,AdaBoostClassifier,0.5187010765075684,0.8675956758418863,0.9365635710451066,0.8319304821185552,0.8307533609710485
7,SVC,2.2181968212127687,0.7210341667563915,0.8720205487035553,0.6605465943823484,0.6470216308758376
1,SGDClassifier,0.13512005805969238,0.43483216351465526,0.43074154773666457,0.7294469357249627,0.5387601823824116
16,MLPClassifier,27.556262683868407,0.5673570924864855,0.6784757889177978,0.5115257791758696,0.5270053435517165
8,NuSVC,1.5132166385650634,0.4880389968659335,0.6025949946046494,0.636222921268099,0.5077501405477601
9,LinearSVC,1.624401044845581,0.5051688768091692,0.4477731589180127,0.6617870289806573,0.5075455067689087
0,PassiveAggressiveClassifier,0.014489984512329102,0.5031390134529148,0.5288949118736352,0.6062780269058295,0.4370593118823655
6,RadiusNeighborsClassifier,0.004198837280273438,,,,
